Company,Levy Group,Effective Date,Fuel Surcharge,,,,,,,
Hi Trans Express Pty Ltd,Customer A 1.15,8/09/2025,18.52%,,,,,,,
Hunter Express,Customer A 1.15,8/09/2025,18.52%,,,,,,,
Lakes Entrance Delivery Services,Contractor D LEDS,8/09/2025,1.61%,,,,,,,
Materia Family Trust,Contractor B Materia,8/09/2025,7.79%,,,,,,,
Northline Partnership,Customer A 1.15,8/09/2025,18.52%,,,,,,,
SRK Transport,Contractor C SRK,8/09/2025,13.10%,,,,,,,
Team Global Express Pty Ltd,Customer A 1.15,8/09/2025,18.52%,,,,,,,
TFMXPRESS Pty Ltd,Customer B 1.10,8/09/2025,20.66%,,,,,,,
Total Logistics Solutions (Australia) Pty Ltd,Customer A 1.15,8/09/2025,18.52%,,,,,,,
Vellex Logistics Pty Ltd,Customer A 1.15,8/09/2025,18.52%,,,,,,,
Wettenhalls Regional Express Pty Ltd,Customer B 1.10,8/09/2025,20.66%,,,,,,,
Airroad Pty Ltd,Customer A 1.15,4/08/2025,18.17%,,,,,,,
Allied Overnight Express Pty Ltd,Customer B 1.10,4/08/2025,20.29%,,,,,,,
Amalgamated National Logistics,Customer B 1.10,4/08/2025,20.29%,,,,,,,
Aramex Linehaul Australia Pty Ltd,Customer B 1.10,4/08/2025,20.29%,,,,,,,
Bluestar Logistics Pty Ltd,Customer B 1.10,4/08/2025,20.29%,,,,,,,
Cahill Transport,Customer B 1.10,4/08/2025,20.29%,,,,,,,
Direct Freight Express Pty Ltd,Customer B 1.10,4/08/2025,20.29%,,,,,,,
Dux Manufacturing Ltd,Customer B 1.10,4/08/2025,20.29%,,,,,,,
Farm Balance Pty Ltd,Customer B 1.10,4/08/2025,20.29%,,,,,,,
Freight Specialists Pty Ltd,Customer B 1.10,4/08/2025,20.29%,,,,,,,
G&G Gippsland Pty Ltd,Contractor A GFE,4/08/2025,9.83%,,,,,,,
Hi Trans Express Pty Ltd,Customer A 1.15,4/08/2025,18.17%,,,,,,,
Hunter Express,Customer A 1.15,4/08/2025,18.17%,,,,,,,
Lakes Entrance Delivery Services,Contractor D LEDS,4/08/2025,1.25%,,,,,,,
Materia Family Trust,Contractor B Materia,4/08/2025,7.52%,,,,,,,
Northline Partnership,Customer A 1.15,4/08/2025,18.17%,,,,,,,
SRK Transport,Contractor C SRK,4/08/2025,12.78%,,,,,,,
Team Global Express Pty Ltd,Customer A 1.15,4/08/2025,18.17%,,,,,,,
TFMXPRESS Pty Ltd,Customer B 1.10,4/08/2025,20.29%,,,,,,,
Total Logistics Solutions (Australia) Pty Ltd,Customer A 1.15,4/08/2025,18.17%,,,,,,,
Vellex Logistics Pty Ltd,Customer A 1.15,4/08/2025,18.17%,,,,,,,
Wettenhalls Regional Express Pty Ltd,Customer B 1.10,4/08/2025,20.29%,,,,,,,
Airroad Pty Ltd,Customer A 1.15,7/07/2025,17.09%,,,,,,,
Allied Overnight Express Pty Ltd,Customer B 1.10,7/07/2025,19.16%,,,,,,,
Amalgamated National Logistics,Customer B 1.10,7/07/2025,19.16%,,,,,,,
Aramex Linehaul Australia Pty Ltd,Customer B 1.10,7/07/2025,19.16%,,,,,,,
Bluestar Logistics Pty Ltd,Customer B 1.10,7/07/2025,19.16%,,,,,,,
Cahill Transport,Customer B 1.10,7/07/2025,19.16%,,,,,,,
Direct Freight Express Pty Ltd,Customer B 1.10,7/07/2025,19.16%,,,,,,,
Dux Manufacturing Ltd,Customer B 1.10,7/07/2025,19.16%,,,,,,,
Farm Balance Pty Ltd,Customer B 1.10,7/07/2025,19.16%,,,,,,,
Freight Specialists Pty Ltd,Customer B 1.10,7/07/2025,19.16%,,,,,,,
G&G Gippsland Pty Ltd,Contractor A GFE,7/07/2025,8.94%,,,,,,,
Hi Trans Express Pty Ltd,Customer A 1.15,7/07/2025,17.09%,,,,,,,
Hunter Express,Customer A 1.15,7/07/2025,17.09%,,,,,,,
Lakes Entrance Delivery Services,Contractor D LEDS,7/07/2025,1.85%,,,,,,,
Materia Family Trust,Contractor B Materia,7/07/2025,6.68%,,,,,,,
Northline Partnership,Customer A 1.15,7/07/2025,17.09%,,,,,,,
SRK Transport,Contractor C SRK,7/07/2025,11.83%,,,,,,,
Team Global Express Pty Ltd,Customer A 1.15,7/07/2025,17.09%,,,,,,,
TFMXPRESS Pty Ltd,Customer B 1.10,7/07/2025,19.16%,,,,,,,
Total Logistics Solutions (Australia) Pty Ltd,Customer A 1.15,7/07/2025,17.09%,,,,,,,
Vellex Logistics Pty Ltd,Customer A 1.15,7/07/2025,17.09%,,,,,,,
Wettenhalls Regional Express Pty Ltd,Customer B 1.10,7/07/2025,19.16%,,,,,,,
Airroad Pty Ltd,Customer A 1.15,2/06/2025,16.92%,,,,,,,
Allied Overnight Express Pty Ltd,Customer B 1.10,2/06/2025,18.98%,,,,,,,
Amalgamated National Logistics,Customer B 1.10,2/06/2025,18.98%,,,,,,,
Aramex Linehaul Australia Pty Ltd,Customer B 1.10,2/06/2025,18.98%,,,,,,,
Bluestar Logistics Pty Ltd,Customer B 1.10,2/06/2025,18.98%,,,,,,,
Cahill Transport,Customer B 1.10,2/06/2025,18.98%,,,,,,,
Direct Freight Express Pty Ltd,Customer B 1.10,2/06/2025,18.98%,,,,,,,
Dux Manufacturing Ltd,Customer B 1.10,2/06/2025,18.98%,,,,,,,
Farm Balance Pty Ltd,Customer B 1.10,2/06/2025,18.98%,,,,,,,
Freight Specialists Pty Ltd,Customer B 1.10,2/06/2025,18.98%,,,,,,,
G&G Gippsland Pty Ltd,Contractor A GFE,2/06/2025,8.81%,,,,,,,
Hi Trans Express Pty Ltd,Customer A 1.15,2/06/2025,16.92%,,,,,,,
Hunter Express,Customer A 1.15,2/06/2025,16.92%,,,,,,,
Lakes Entrance Delivery Services,Contractor D LEDS,2/06/2025,0.30%,,,,,,,
Materia Family Trust,Contractor B Materia,2/06/2025,6.56%,,,,,,,
Northline Partnership,Customer A 1.15,2/06/2025,16.92%,,,,,,,
SRK Transport,Contractor C SRK,2/06/2025,11.68%,,,,,,,
Team Global Express Pty Ltd,Customer A 1.15,2/06/2025,16.92%,,,,,,,
TFMXPRESS Pty Ltd,Customer B 1.10,2/06/2025,18.98%,,,,,,,
Total Logistics Solutions (Australia) Pty Ltd,Customer A 1.15,2/06/2025,16.92%,,,,,,,
Vellex Logistics Pty Ltd,Customer A 1.15,2/06/2025,16.92%,,,,,,,
Wettenhalls Regional Express Pty Ltd,Customer B 1.10,2/06/2025,18.98%,,,,,,,
Airroad Pty Ltd,Customer A 1.15,5/05/2025,17.91%,,,,,,,
Allied Overnight Express Pty Ltd,Customer B 1.10,5/05/2025,20.01%,,,,,,,
Amalgamated National Logistics,Customer B 1.10,5/05/2025,20.01%,,,,,,,
Aramex Linehaul Australia Pty Ltd,Customer B 1.10,5/05/2025,20.01%,,,,,,,
Bluestar Logistics Pty Ltd,Customer B 1.10,5/05/2025,20.01%,,,,,,,
Cahill Transport,Customer B 1.10,5/05/2025,20.01%,,,,,,,
Direct Freight Express Pty Ltd,Customer B 1.10,5/05/2025,20.01%,,,,,,,
Dux Manufacturing Ltd,Customer B 1.10,5/05/2025,20.01%,,,,,,,
Farm Balance Pty Ltd,Customer B 1.10,5/05/2025,20.01%,,,,,,,
Freight Specialists Pty Ltd,Customer B 1.10,5/05/2025,20.01%,,,,,,,
G&G Gippsland Pty Ltd,Contractor A GFE,5/05/2025,9.62%,,,,,,,
Hi Trans Express Pty Ltd,Customer A 1.15,5/05/2025,17.91%,,,,,,,
Hunter Express,Customer A 1.15,5/05/2025,17.91%,,,,,,,
Lakes Entrance Delivery Services,Contractor D LEDS,5/05/2025,0.97%,,,,,,,
Materia Family Trust,Contractor B Materia,5/05/2025,7.32%,,,,,,,
Northline Partnership,Customer A 1.15,5/05/2025,17.91%,,,,,,,
SRK Transport,Contractor C SRK,5/05/2025,12.55%,,,,,,,
Team Global Express Pty Ltd,Customer A 1.15,5/05/2025,17.91%,,,,,,,
TFMXPRESS Pty Ltd,Customer B 1.10,5/05/2025,20.01%,,,,,,,
Total Logistics Solutions (Australia) Pty Ltd,Customer A 1.15,5/05/2025,17.91%,,,,,,,
Vellex Logistics Pty Ltd,Customer A 1.15,5/05/2025,17.91%,,,,,,,
Wettenhalls Regional Express Pty Ltd,Customer B 1.10,5/05/2025,20.01%,,,,,,,
Airroad Pty Ltd,Customer A 1.15,7/04/2025,18.78%,,,,,,,
Allied Overnight Express Pty Ltd,Customer B 1.10,7/04/2025,20.93%,,,,,,,
Amalgamated National Logistics,Customer B 1.10,7/04/2025,20.93%,,,,,,,
Aramex Linehaul Australia Pty Ltd,Customer B 1.10,7/04/2025,20.93%,,,,,,,
Bluestar Logistics Pty Ltd,Customer B 1.10,7/04/2025,20.93%,,,,,,,
Cahill Transport,Customer B 1.10,7/04/2025,20.93%,,,,,,,
Direct Freight Express Pty Ltd,Customer B 1.10,7/04/2025,20.93%,,,,,,,
Dux Manufacturing Ltd,Customer B 1.10,7/04/2025,20.93%,,,,,,,
Farm Balance Pty Ltd,Customer B 1.10,7/04/2025,20.93%,,,,,,,
Freight Specialists Pty Ltd,Customer B 1.10,7/04/2025,20.93%,,,,,,,
G&G Gippsland Pty Ltd,Contractor A GFE,7/04/2025,10.34%,,,,,,,
Hi Trans Express Pty Ltd,Customer A 1.15,7/04/2025,18.78%,,,,,,,
Hunter Express,Customer A 1.15,7/04/2025,18.78%,,,,,,,
Lakes Entrance Delivery Services,Contractor D LEDS,7/04/2025,1.33%,,,,,,,
Materia Family Trust,Contractor B Materia,7/04/2025,7.99%,,,,,,,
Northline Partnership,Customer A 1.15,7/04/2025,18.78%,,,,,,,
SRK Transport,Contractor C SRK,7/04/2025,13.32%,,,,,,,
Team Global Express Pty Ltd,Customer A 1.15,7/04/2025,18.78%,,,,,,,
TFMXPRESS Pty Ltd,Customer B 1.10,7/04/2025,20.93%,,,,,,,
Total Logistics Solutions (Australia) Pty Ltd,Customer A 1.15,7/04/2025,18.78%,,,,,,,
Vellex Logistics Pty Ltd,Customer A 1.15,7/04/2025,18.78%,,,,,,,
Wettenhalls Regional Express Pty Ltd,Customer B 1.10,7/04/2025,20.93%,,,,,,,
Airroad Pty Ltd,Customer A 1.15,3/03/2025,19.28%,,,,,,,
Allied Overnight Express Pty Ltd,Customer B 1.10,3/03/2025,21.45%,,,,,,,
Amalgamated National Logistics,Customer B 1.10,3/03/2025,21.45%,,,,,,,
Aramex Linehaul Australia Pty Ltd,Customer B 1.10,3/03/2025,21.45%,,,,,,,
Bluestar Logistics Pty Ltd,Customer B 1.10,3/03/2025,21.45%,,,,,,,
Cahill Transport,Customer B 1.10,3/03/2025,21.45%,,,,,,,
Direct Freight Express Pty Ltd,Customer B 1.10,3/03/2025,21.45%,,,,,,,
Dux Manufacturing Ltd,Customer B 1.10,3/03/2025,21.45%,,,,,,,
Farm Balance Pty Ltd,Customer B 1.10,3/03/2025,21.45%,,,,,,,
Freight Specialists Pty Ltd,Customer B 1.10,3/03/2025,21.45%,,,,,,,
G&G Gippsland Pty Ltd,Contractor A GFE,3/03/2025,10.75%,,,,,,,
Hi Trans Express Pty Ltd,Customer A 1.15,3/03/2025,19.28%,,,,,,,
Hunter Express,Customer A 1.15,3/03/2025,19.28%,,,,,,,
Lakes Entrance Delivery Services,Contractor D LEDS,3/03/2025,1.92%,,,,,,,
Materia Family Trust,Contractor B Materia,3/03/2025,8.38%,,,,,,,
Northline Partnership,Customer A 1.15,3/03/2025,19.28%,,,,,,,
SRK Transport,Contractor C SRK,3/03/2025,13.77%,,,,,,,
Team Global Express Pty Ltd,Customer A 1.15,3/03/2025,19.28%,,,,,,,
TFMXPRESS Pty Ltd,Customer B 1.10,3/03/2025,21.45%,,,,,,,
Total Logistics Solutions (Australia) Pty Ltd,Customer A 1.15,3/03/2025,19.28%,,,,,,,
Vellex Logistics Pty Ltd,Customer A 1.15,3/03/2025,19.28%,,,,,,,
Wettenhalls Regional Express Pty Ltd,Customer B 1.10,3/03/2025,21.45%,,,,,,,
Airroad Pty Ltd,Customer A 1.15,3/02/2025,19.15%,,,,,,,
Allied Overnight Express Pty Ltd,Customer B 1.10,3/02/2025,21.32%,,,,,,,
Amalgamated National Logistics,Customer B 1.10,3/02/2025,21.32%,,,,,,,
Aramex Linehaul Australia Pty Ltd,Customer B 1.10,3/02/2025,21.32%,,,,,,,
Bluestar Logistics Pty Ltd,Customer B 1.10,3/02/2025,21.32%,,,,,,,
Cahill Transport,Customer B 1.10,3/02/2025,21.32%,,,,,,,
Direct Freight Express Pty Ltd,Customer B 1.10,3/02/2025,21.32%,,,,,,,
Dux Manufacturing Ltd,Customer B 1.10,3/02/2025,21.32%,,,,,,,
Farm Balance Pty Ltd,Customer B 1.10,3/02/2025,21.32%,,,,,,,
Freight Specialists Pty Ltd,Customer B 1.10,3/02/2025,21.32%,,,,,,,
G&G Gippsland Pty Ltd,Contractor A GFE,3/02/2025,10.64%,,,,,,,
Hi Trans Express Pty Ltd,Customer A 1.15,3/02/2025,19.15%,,,,,,,
Hunter Express,Customer A 1.15,3/02/2025,19.15%,,,,,,,
Lakes Entrance Delivery Services,Contractor D LEDS,3/02/2025,2.42%,,,,,,,
Materia Family Trust,Contractor B Materia,3/02/2025,8.28%,,,,,,,
Northline Partnership,Customer A 1.15,3/02/2025,19.15%,,,,,,,
SRK Transport,Contractor C SRK,3/02/2025,13.65%,,,,,,,
Team Global Express Pty Ltd,Customer A 1.15,3/02/2025,19.15%,,,,,,,
TFMXPRESS Pty Ltd,Customer B 1.10,3/02/2025,21.32%,,,,,,,
Total Logistics Solutions (Australia) Pty Ltd,Customer A 1.15,3/02/2025,19.15%,,,,,,,
Vellex Logistics Pty Ltd,Customer A 1.15,3/02/2025,19.15%,,,,,,,
Wettenhalls Regional Express Pty Ltd,Customer B 1.10,3/02/2025,21.32%,,,,,,,
Airroad Pty Ltd,Customer A 1.15,6/01/2025,17.20%,,,,,,,
Allied Overnight Express Pty Ltd,Customer B 1.10,6/01/2025,19.28%,,,,,,,
Amalgamated National Logistics,Customer B 1.10,6/01/2025,19.28%,,,,,,,
Aramex Linehaul Australia Pty Ltd,Customer B 1.10,6/01/2025,19.28%,,,,,,,
Bluestar Logistics Pty Ltd,Customer B 1.10,6/01/2025,19.28%,,,,,,,
Cahill Transport,Customer B 1.10,6/01/2025,19.28%,,,,,,,
Direct Freight Express Pty Ltd,Customer B 1.10,6/01/2025,19.28%,,,,,,,
Dux Manufacturing Ltd,Customer B 1.10,6/01/2025,19.28%,,,,,,,
Farm Balance Pty Ltd,Customer B 1.10,6/01/2025,19.28%,,,,,,,
Freight Specialists Pty Ltd,Customer B 1.10,6/01/2025,19.28%,,,,,,,
G&G Gippsland Pty Ltd,Contractor A GFE,6/01/2025,9.04%,,,,,,,
Hi Trans Express Pty Ltd,Customer A 1.15,6/01/2025,17.20%,,,,,,,
Hunter Express,Customer A 1.15,6/01/2025,17.20%,,,,,,,
Lakes Entrance Delivery Services,Contractor D LEDS,6/01/2025,1.33%,,,,,,,
Materia Family Trust,Contractor B Materia,6/01/2025,6.77%,,,,,,,
Northline Partnership,Customer A 1.15,6/01/2025,17.20%,,,,,,,
SRK Transport,Contractor C SRK,6/01/2025,11.93%,,,,,,,
Team Global Express Pty Ltd,Customer A 1.15,6/01/2025,17.20%,,,,,,,
TFMXPRESS Pty Ltd,Customer B 1.10,6/01/2025,19.28%,,,,,,,
Total Logistics Solutions (Australia) Pty Ltd,Customer A 1.15,6/01/2025,17.20%,,,,,,,
Vellex Logistics Pty Ltd,Customer A 1.15,6/01/2025,17.20%,,,,,,,
Wettenhalls Regional Express Pty Ltd,Customer B 1.10,6/01/2025,19.28%,,,,,,,
Airroad Pty Ltd,Customer A 1.15,2/12/2024,16.51%,,,,,,,
Allied Overnight Express Pty Ltd,Customer B 1.10,2/12/2024,18.55%,,,,,,,
Amalgamated National Logistics,Customer B 1.10,2/12/2024,18.55%,,,,,,,
Aramex Linehaul Australia Pty Ltd,Customer B 1.10,2/12/2024,18.55%,,,,,,,
Bluestar Logistics Pty Ltd,Customer B 1.10,2/12/2024,18.55%,,,,,,,
Cahill Transport,Customer B 1.10,2/12/2024,18.55%,,,,,,,
Direct Freight Express Pty Ltd,Customer B 1.10,2/12/2024,18.55%,,,,,,,
Dux Manufacturing Ltd,Customer B 1.10,2/12/2024,18.55%,,,,,,,
Farm Balance Pty Ltd,Customer B 1.10,2/12/2024,18.55%,,,,,,,
Freight Specialists Pty Ltd,Customer B 1.10,2/12/2024,18.55%,,,,,,,
G&G Gippsland Pty Ltd,Contractor A GFE,2/12/2024,8.47%,,,,,,,
Hi Trans Express Pty Ltd,Customer A 1.15,2/12/2024,16.51%,,,,,,,
Hunter Express,Customer A 1.15,2/12/2024,16.51%,,,,,,,
Lakes Entrance Delivery Services,Contractor D LEDS,2/12/2024,0.32%,,,,,,,
Materia Family Trust,Contractor B Materia,2/12/2024,6.24%,,,,,,,
Northline Partnership,Customer A 1.15,2/12/2024,16.51%,,,,,,,
SRK Transport,Contractor C SRK,2/12/2024,11.31%,,,,,,,
Team Global Express Pty Ltd,Customer A 1.15,2/12/2024,16.51%,,,,,,,
TFMXPRESS Pty Ltd,Customer B 1.10,2/12/2024,18.55%,,,,,,,
Total Logistics Solutions (Australia) Pty Ltd,Customer A 1.15,2/12/2024,16.51%,,,,,,,
Vellex Logistics Pty Ltd,Customer A 1.15,2/12/2024,16.51%,,,,,,,
Wettenhalls Regional Express Pty Ltd,Customer B 1.10,2/12/2024,18.55%,,,,,,,
Airroad Pty Ltd,Customer A 1.15,4/11/2024,16.55%,,,,,,,
Allied Overnight Express Pty Ltd,Customer B 1.10,4/11/2024,18.60%,,,,,,,
Amalgamated National Logistics,Customer B 1.10,4/11/2024,18.60%,,,,,,,
Aramex Linehaul Australia Pty Ltd,Customer B 1.10,4/11/2024,18.60%,,,,,,,
Bluestar Logistics Pty Ltd,Customer B 1.10,4/11/2024,18.60%,,,,,,,
Cahill Transport,Customer B 1.10,4/11/2024,18.60%,,,,,,,
Direct Freight Express Pty Ltd,Customer B 1.10,4/11/2024,18.60%,,,,,,,
Dux Manufacturing Ltd,Customer B 1.10,4/11/2024,18.60%,,,,,,,
Farm Balance Pty Ltd,Customer B 1.10,4/11/2024,18.60%,,,,,,,
Freight Specialists Pty Ltd,Customer B 1.10,4/11/2024,18.60%,,,,,,,
G&G Gippsland Pty Ltd,Contractor A GFE,4/11/2024,8.51%,,,,,,,
Hi Trans Express Pty Ltd,Customer A 1.15,4/11/2024,16.55%,,,,,,,
Hunter Express,Customer A 1.15,4/11/2024,16.55%,,,,,,,
Lakes Entrance Delivery Services,Contractor D LEDS,4/11/2024,0.22%,,,,,,,
Materia Family Trust,Contractor B Materia,4/11/2024,6.27%,,,,,,,
Northline Partnership,Customer A 1.15,4/11/2024,16.55%,,,,,,,
SRK Transport,Contractor C SRK,4/11/2024,11.36%,,,,,,,
Team Global Express Pty Ltd,Customer A 1.15,4/11/2024,16.55%,,,,,,,
TFMXPRESS Pty Ltd,Customer B 1.10,4/11/2024,18.60%,,,,,,,
Total Logistics Solutions (Australia) Pty Ltd,Customer A 1.15,4/11/2024,16.55%,,,,,,,
Vellex Logistics Pty Ltd,Customer A 1.15,4/11/2024,16.55%,,,,,,,
Wettenhalls Regional Express Pty Ltd,Customer B 1.10,4/11/2024,18.60%,,,,,,,
Airroad Pty Ltd,Customer A 1.15,7/10/2024,17.10%,,,,,,,
Allied Overnight Express Pty Ltd,Customer B 1.10,7/10/2024,19.17%,,,,,,,
Amalgamated National Logistics,Customer B 1.10,7/10/2024,19.17%,,,,,,,
Aramex Linehaul Australia Pty Ltd,Customer B 1.10,7/10/2024,19.17%,,,,,,,
Bluestar Logistics Pty Ltd,Customer B 1.10,7/10/2024,19.17%,,,,,,,
Cahill Transport,Customer B 1.10,7/10/2024,19.17%,,,,,,,
Direct Freight Express Pty Ltd,Customer B 1.10,7/10/2024,19.17%,,,,,,,
Dux Manufacturing Ltd,Customer B 1.10,7/10/2024,19.17%,,,,,,,
Farm Balance Pty Ltd,Customer B 1.10,7/10/2024,19.17%,,,,,,,
Freight Specialists Pty Ltd,Customer B 1.10,7/10/2024,19.17%,,,,,,,
G&G Gippsland Pty Ltd,Contractor A GFE,7/10/2024,8.96%,,,,,,,
Hi Trans Express Pty Ltd,Customer A 1.15,7/10/2024,17.10%,,,,,,,
Hunter Express,Customer A 1.15,7/10/2024,17.10%,,,,,,,
Lakes Entrance Delivery Services,Contractor D LEDS,7/10/2024,0.35%,,,,,,,
Materia Family Trust,Contractor B Materia,7/10/2024,6.69%,,,,,,,
Northline Partnership,Customer A 1.15,7/10/2024,17.10%,,,,,,,
SRK Transport,Contractor C SRK,7/10/2024,11.84%,,,,,,,
Team Global Express Pty Ltd,Customer A 1.15,7/10/2024,17.10%,,,,,,,
TFMXPRESS Pty Ltd,Customer B 1.10,7/10/2024,19.17%,,,,,,,
Total Logistics Solutions (Australia) Pty Ltd,Customer A 1.15,7/10/2024,17.10%,,,,,,,
Vellex Logistics Pty Ltd,Customer A 1.15,7/10/2024,17.10%,,,,,,,
Wettenhalls Regional Express Pty Ltd,Customer B 1.10,7/10/2024,19.17%,,,,,,,
Airroad Pty Ltd,Customer A 1.15,2/09/2024,19.08%,,,,,,,
Allied Overnight Express Pty Ltd,Customer B 1.10,2/09/2024,21.24%,,,,,,,
Amalgamated National Logistics,Customer B 1.10,2/09/2024,21.24%,,,,,,,
Aramex Linehaul Australia Pty Ltd,Customer B 1.10,2/09/2024,21.24%,,,,,,,
Bluestar Logistics Pty Ltd,Customer B 1.10,2/09/2024,21.24%,,,,,,,
Cahill Transport,Customer B 1.10,2/09/2024,21.24%,,,,,,,
Direct Freight Express Pty Ltd,Customer B 1.10,2/09/2024,21.24%,,,,,,,
Dux Manufacturing Ltd,Customer B 1.10,2/09/2024,21.24%,,,,,,,
Farm Balance Pty Ltd,Customer B 1.10,2/09/2024,21.24%,,,,,,,
Freight Specialists Pty Ltd,Customer B 1.10,2/09/2024,21.24%,,,,,,,
G&G Gippsland Pty Ltd,Contractor A GFE,2/09/2024,10.58%,,,,,,,
Hi Trans Express Pty Ltd,Customer A 1.15,2/09/2024,19.08%,,,,,,,
Hunter Express,Customer A 1.15,2/09/2024,19.08%,,,,,,,
Lakes Entrance Delivery Services,Contractor D LEDS,2/09/2024,1.60%,,,,,,,
Materia Family Trust,Contractor B Materia,2/09/2024,8.22%,,,,,,,
Northline Partnership,Customer A 1.15,2/09/2024,19.08%,,,,,,,
SRK Transport,Contractor C SRK,2/09/2024,13.59%,,,,,,,
Team Global Express Pty Ltd,Customer A 1.15,2/09/2024,19.08%,,,,,,,
TFMXPRESS Pty Ltd,Customer B 1.10,2/09/2024,21.24%,,,,,,,
Total Logistics Solutions (Australia) Pty Ltd,Customer A 1.15,2/09/2024,19.08%,,,,,,,
Vellex Logistics Pty Ltd,Customer A 1.15,2/09/2024,19.08%,,,,,,,
Wettenhalls Regional Express Pty Ltd,Customer B 1.10,2/09/2024,21.24%,,,,,,,
Airroad Pty Ltd,Customer A 1.15,5/08/2024,19.80%,,,,,,,
Allied Overnight Express Pty Ltd,Customer B 1.10,5/08/2024,21.99%,,,,,,,
Amalgamated National Logistics,Customer B 1.10,5/08/2024,21.99%,,,,,,,
Aramex Linehaul Australia Pty Ltd,Customer B 1.10,5/08/2024,21.99%,,,,,,,
Bluestar Logistics Pty Ltd,Customer B 1.10,5/08/2024,21.99%,,,,,,,
Cahill Transport,Customer B 1.10,5/08/2024,21.99%,,,,,,,
Direct Freight Express Pty Ltd,Customer B 1.10,5/08/2024,21.99%,,,,,,,
Dux Manufacturing Ltd,Customer B 1.10,5/08/2024,21.99%,,,,,,,
Farm Balance Pty Ltd,Customer B 1.10,5/08/2024,21.99%,,,,,,,
Freight Specialists Pty Ltd,Customer B 1.10,5/08/2024,21.99%,,,,,,,
G&G Gippsland Pty Ltd,Contractor A GFE,5/08/2024,11.17%,,,,,,,
Hi Trans Express Pty Ltd,Customer A 1.15,5/08/2024,19.80%,,,,,,,
Hunter Express,Customer A 1.15,5/08/2024,19.80%,,,,,,,
Lakes Entrance Delivery Services,Contractor D LEDS,5/08/2024,2.07%,,,,,,,
Materia Family Trust,Contractor B Materia,5/08/2024,8.77%,,,,,,,
Northline Partnership,Customer A 1.15,5/08/2024,19.80%,,,,,,,
SRK Transport,Contractor C SRK,5/08/2024,14.22%,,,,,,,
Team Global Express Pty Ltd,Customer A 1.15,5/08/2024,19.80%,,,,,,,
TFMXPRESS Pty Ltd,Customer B 1.10,5/08/2024,21.99%,,,,,,,
Total Logistics Solutions (Australia) Pty Ltd,Customer A 1.15,5/08/2024,19.80%,,,,,,,
Vellex Logistics Pty Ltd,Customer A 1.15,5/08/2024,19.80%,,,,,,,
Wettenhalls Regional Express Pty Ltd,Customer B 1.10,5/08/2024,21.99%,,,,,,,
Airroad Pty Ltd,Customer A 1.15,8/07/2024,19.82%,,,,,,,
Allied Overnight Express Pty Ltd,Customer B 1.10,8/07/2024,22.02%,,,,,,,
Amalgamated National Logistics,Customer B 1.10,8/07/2024,22.02%,,,,,,,
Aramex Linehaul Australia Pty Ltd,Customer B 1.10,8/07/2024,22.02%,,,,,,,
Bluestar Logistics Pty Ltd,Customer B 1.10,8/07/2024,22.02%,,,,,,,
